,val_loss,val_accuracy,loss,accuracy,lr
35,0.6469378497600555,0.8596000075340271,0.31467476228382757,0.9527394771575928,0.004124999977648258
36,0.7424896265029908,0.8364999890327454,0.30877331996414764,0.9534804821014404,0.004100000020116568
37,0.7337455279350281,0.8528000116348267,0.3007692250875814,0.9560837745666504,0.004075000062584877
38,0.7347445660591125,0.8454999923706055,0.2993253740657793,0.9562439918518066,0.004050000105053186
39,0.835827499961853,0.8413000106811523,0.29006443124709697,0.9594881534576416,0.004025000147521496
40,0.6655645280838013,0.8616999983787537,0.2842433475810188,0.9615307450294495,0.004000000189989805
41,0.69201060962677,0.8604999780654907,0.28241173560632343,0.9612504243850708,0.003975000232458115
42,0.6337059043884278,0.8766000270843506,0.27760282131159625,0.9623918533325195,0.003949999809265137
43,0.6814001798629761,0.8693000078201294,0.27314633001638733,0.964013934135437,0.003924999851733446
44,0.9750187577724457,0.8105000257492065,0.2707152412186751,0.9651554226875305,0.0038999998942017555
45,0.7900157939910889,0.8574000000953674,0.26385022386149387,0.9669176340103149,0.003874999936670065
46,0.6931878201961518,0.861299991607666,0.2588090758385165,0.9684395790100098,0.0038499999791383743
47,0.8180564797401428,0.8450000286102295,0.2593049230519086,0.9684498906135559,0.0038250000216066837
48,0.7033873507499695,0.8629000186920166,0.26121495181419496,0.9673982858657837,0.003800000064074993
49,0.6664081594944,0.8743000030517578,0.2528583657061006,0.9705540537834167,0.0037750001065433025
50,0.6152186880588532,0.8812000155448914,0.25064460764669216,0.97102290391922,0.0037499999161809683
51,0.6557862273216247,0.8784000277519226,0.2418640387195631,0.97413170337677,0.0037249999586492777
52,0.754481498336792,0.8615000247955322,0.2431972485998642,0.9725986123085022,0.003700000001117587
53,0.7219905689239502,0.8661999702453613,0.23763687917720963,0.9744072556495667,0.0036750000435858965
54,0.657323876285553,0.8690000176429749,0.23433821007862415,0.9751682281494141,0.003650000086054206
55,0.7336142446517945,0.8640999794006348,0.2408600736890455,0.9720442295074463,0.0036249998956918716
56,0.6366641345024109,0.8802000284194946,0.2362880050200218,0.974307119846344,0.003599999938160181
57,0.6704079024314881,0.8719000220298767,0.23018552652729968,0.9763497114181519,0.0035749999806284904
58,0.7996502284049988,0.8511999845504761,0.2251453524367697,0.9773710370063782,0.0035500000230968
59,0.6450635523319245,0.8808000087738037,0.22247848946938947,0.9778716564178467,0.0035250000655651093
60,0.6895503057479858,0.8715000152587891,0.2205944782226218,0.9783122539520264,0.0035000001080334187
61,0.6855458937644958,0.8743000030517578,0.22238833297525068,0.9774311184883118,0.0034749999176710844
62,0.6571051900863647,0.875,0.2181143039829721,0.9782521724700928,0.003449999960139394
63,0.6625032351493836,0.8777999877929688,0.2146539042218302,0.9797340631484985,0.003425000002607703
64,0.6865426376342774,0.8737999796867371,0.21270543531667188,0.9805551171302795,0.0034000000450760126
65,0.6351172342300415,0.8859000205993652,0.2076016833903659,0.98183673620224,0.003375000087544322
66,0.7339525986671448,0.871999979019165,0.20924781179798602,0.9810957908630371,0.0033499998971819878
67,0.8212559087753296,0.8565999865531921,0.20816061027689417,0.9802747368812561,0.003324999939650297
68,0.7623336856842041,0.863099992275238,0.20587961399108315,0.9817366003990173,0.0032999999821186066
69,0.6565150380134582,0.8794000148773193,0.20414701207292954,0.9816765189170837,0.003275000024586916
70,0.6263017210960388,0.8920000195503235,0.196624152899476,0.9843399524688721,0.0032500000670552254
71,0.6595806211471558,0.8848000168800354,0.20194701724845376,0.9823173880577087,0.0032250001095235348
72,0.7622085054397583,0.866599977016449,0.19581766546402785,0.984600305557251,0.0031999999191612005
73,0.5912153398513794,0.890500009059906,0.19384959353464074,0.984259843826294,0.00317499996162951
74,0.628247749042511,0.8848000168800354,0.19133120065734616,0.9846603870391846,0.0031500000040978193
75,0.7633694009780884,0.8704000115394592,0.18803948007383167,0.9859620332717896,0.0031250000465661287
76,0.6837276830673218,0.8817999958992004,0.1897697229772682,0.9850608706474304,0.003100000089034438
77,0.7146905025482178,0.8737999796867371,0.18558065453350295,0.9863225221633911,0.003074999898672104
78,0.6489667373657226,0.8912000060081482,0.18627151359888422,0.9860621690750122,0.0030499999411404133
79,0.6788568273544312,0.8845999836921692,0.19073158851115987,0.983999490737915,0.0030249999836087227
80,0.6894179822921753,0.8795999884605408,0.18440936484806975,0.9858955144882202,0.003000000026077032
81,0.6724690189361572,0.8838000297546387,0.1815544422226047,0.9867503046989441,0.0029750000685453415
82,0.637329702949524,0.8871999979019165,0.18391926342651882,0.9855014681816101,0.002950000111013651
83,0.6852587125778198,0.8809000253677368,0.17963428837353126,0.986763060092926,0.0029249999206513166
84,0.6016828047275543,0.8938999772071838,0.17644024643902595,0.9880246520042419,0.002899999963119626
85,0.6440716978549957,0.8845999836921692,0.17533810647280312,0.987884521484375,0.0028750000055879354
86,0.6157562076568603,0.890500009059906,0.1765344529933404,0.9870834946632385,0.002850000048056245
87,0.6184530039787293,0.8902000188827515,0.16988009331853524,0.9902074933052063,0.0028250000905245543
88,0.6300967316627503,0.8916000127792358,0.17511555624099848,0.9871435165405273,0.00279999990016222
89,0.7485914681434631,0.8738999962806702,0.17012522533626673,0.9887455701828003,0.0027749999426305294
90,0.7839215181350708,0.8707000017166138,0.16733555293778354,0.9897668957710266,0.002749999985098839
91,0.6567612365722656,0.8858000040054321,0.1651633904267488,0.9902875423431396,0.002725000027567148
92,0.6563598639488221,0.8870999813079834,0.16778509740892872,0.9894664883613586,0.0027000000700354576
93,0.6246501021385192,0.8901000022888184,0.16257595104958836,0.990828275680542,0.002675000112503767
94,0.5598870346069336,0.8967999815940857,0.16139534578438716,0.9905879497528076,0.0026499999221414328
95,0.6793980428695678,0.8855999708175659,0.1612650670185184,0.9904277324676514,0.002624999964609742
96,0.6135575819015503,0.8948000073432922,0.15995429847741577,0.9906480312347412,0.0026000000070780516
97,0.7039685260772706,0.8873999714851379,0.1580433642127047,0.990828275680542,0.002575000049546361
